dataset,split,seed,device,model,seconds,hours,human,source,note
bace,random,0,gpu,D-MPNN (2D),129861.12,36.0725,36h 4m 21s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,0,gpu,GIN (2D),226.49,0.0629,3m 46s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,0,gpu,GIN (3D),247.92,0.0689,4m 8s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,0,gpu,SMILES LSTM,628.18,0.1745,10m 28s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,0,gpu,SchNet (3D coords),383.36,0.1065,6m 23s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,1,gpu,D-MPNN (2D),86679.01,24.0775,24h 4m 39s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,1,gpu,GIN (2D),245.46,0.0682,4m 5s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,1,gpu,GIN (3D),296.57,0.0824,4m 57s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,1,gpu,SMILES LSTM,503.34,0.1398,8m 23s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,1,gpu,SchNet (3D coords),409.82,0.1138,6m 50s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,2,gpu,D-MPNN (2D),109279.55,30.3554,30h 21m 20s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,2,gpu,GIN (2D),248.78,0.0691,4m 9s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,2,gpu,GIN (3D),282.75,0.0785,4m 43s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,2,gpu,SMILES LSTM,584.52,0.1624,9m 45s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,2,gpu,SchNet (3D coords),351.18,0.0975,5m 51s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,3,gpu,D-MPNN (2D),104576.55,29.049,29h 2m 57s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,3,gpu,GIN (2D),255.54,0.071,4m 16s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,3,gpu,GIN (3D),323.8,0.0899,5m 24s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,3,gpu,SMILES LSTM,574.87,0.1597,9m 35s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,3,gpu,SchNet (3D coords),361.17,0.1003,6m 1s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,4,gpu,D-MPNN (2D),76853.87,21.3483,21h 20m 54s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,4,gpu,GIN (2D),202.86,0.0564,3m 23s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,4,gpu,GIN (3D),241.54,0.0671,4m 2s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,4,gpu,SMILES LSTM,439.4,0.1221,7m 19s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,random,4,gpu,SchNet (3D coords),300.91,0.0836,5m 1s,notebook_cell,Jupyter cell wall time (HPO + final train)
bace,scaffold,0,gpu,D-MPNN (2D),45292.0,12.5811,12h 34m 52s,history_mtime,approx from history file mtime deltas
bace,scaffold,0,gpu,GIN (3D),3770.0,1.0472,1h 2m 50s,history_mtime,approx from history file mtime deltas
bace,scaffold,0,gpu,SMILES LSTM,26558.0,7.3772,7h 22m 38s,history_mtime,approx from history file mtime deltas
bace,scaffold,0,gpu,SchNet (3D coords),82322.0,22.8672,22h 52m 2s,history_mtime,approx from history file mtime deltas
bace,scaffold,1,gpu,D-MPNN (2D),78343.0,21.7619,21h 45m 43s,history_mtime,approx from history file mtime deltas
bace,scaffold,1,gpu,GIN (3D),13632.0,3.7867,3h 47m 12s,history_mtime,approx from history file mtime deltas
bace,scaffold,1,gpu,SMILES LSTM,20056.0,5.5711,5h 34m 16s,history_mtime,approx from history file mtime deltas
bace,scaffold,1,gpu,SchNet (3D coords),30665.0,8.5181,8h 31m 5s,history_mtime,approx from history file mtime deltas
bace,scaffold,2,gpu,D-MPNN (2D),81040.0,22.5111,22h 30m 40s,history_mtime,approx from history file mtime deltas
