model,metric,mean_std,n_seeds,mean,std
Morgan + RF,ROC-AUC,0.9064 ± 0.0142,5,0.9063781189458225,0.01416858662574097
Morgan + SVM,ROC-AUC,0.8832 ± 0.0231,5,0.8832346021137955,0.023060838234036832
Morgan + XGBoost,ROC-AUC,0.9089 ± 0.0112,5,0.9089265880835857,0.011195635637908163
Descriptors + RF,ROC-AUC,0.9036 ± 0.0157,5,0.9036102425430379,0.015718518695970168
Descriptors + SVM,ROC-AUC,0.9004 ± 0.0255,5,0.900443933698344,0.025541012096525862
Descriptors + XGBoost,ROC-AUC,0.9080 ± 0.0182,5,0.9079542794235017,0.018243151592873992
Combined + XGBoost,ROC-AUC,0.9106 ± 0.0153,5,0.9105706492864444,0.015318786644760824
GIN (2D),ROC-AUC,0.8938 ± 0.0253,5,0.893832719128835,0.025342061566923403
D-MPNN (2D),ROC-AUC,0.8931 ± 0.0200,5,0.893124811652207,0.019994936365736477
GIN (3D),ROC-AUC,0.8917 ± 0.0104,5,0.8917431314732432,0.010433494663868623
SchNet (3D coords),ROC-AUC,0.8494 ± 0.0249,5,0.8494396462529548,0.02489536314447384
SMILES LSTM,ROC-AUC,0.8760 ± 0.0240,5,0.8760483963961997,0.02397941203661262
