model,metric,mean_std,n_seeds,mean,std
Morgan + RF,ROC-AUC,0.9197 ± 0.0164,5,0.9197293426723812,0.016447222460953197
Morgan + SVM,ROC-AUC,0.9000 ± 0.0263,5,0.89995814121203,0.02634902703406958
Morgan + XGBoost,ROC-AUC,0.9179 ± 0.0164,5,0.9179005066699768,0.016377104298582194
Descriptors + RF,ROC-AUC,0.9356 ± 0.0209,5,0.9355558534273994,0.020939493050594116
Descriptors + SVM,ROC-AUC,0.9297 ± 0.0171,5,0.9296600007729368,0.01708690881977382
Descriptors + XGBoost,ROC-AUC,0.9432 ± 0.0195,5,0.9431660930952159,0.0194911575485388
Combined + XGBoost,ROC-AUC,0.9443 ± 0.0168,5,0.9443263487191892,0.016773728296866654
GIN (2D),ROC-AUC,0.9127 ± 0.0194,5,0.9127424638604898,0.019393486499865505
D-MPNN (2D),ROC-AUC,0.9241 ± 0.0197,5,0.9240965721320242,0.019674604572752257
GIN (3D),ROC-AUC,0.9098 ± 0.0220,5,0.9097913521450115,0.021993190599726747
SchNet (3D coords),ROC-AUC,0.8681 ± 0.0270,5,0.8681204932811465,0.02701525930221195
SMILES LSTM,ROC-AUC,0.9123 ± 0.0149,5,0.912271782501738,0.014948436702322763
