model,metric,mean_std,n_seeds,mean,std
Morgan + RF,RMSE,1.1642 ± 0.0486,5,1.1641593479914054,0.04859289674472326
Morgan + SVM,RMSE,1.3333 ± 0.0907,5,1.333310699808177,0.09067411740546938
Morgan + XGBoost,RMSE,1.1092 ± 0.0447,5,1.1091768940119298,0.044733764404218924
Descriptors + RF,RMSE,0.6461 ± 0.0941,5,0.6460507878077598,0.09412089476958635
Descriptors + SVM,RMSE,0.6579 ± 0.1015,5,0.657870413287978,0.10148546448624055
Descriptors + XGBoost,RMSE,0.6140 ± 0.0797,5,0.6140255502558836,0.07970280083883698
Combined + XGBoost,RMSE,0.6052 ± 0.0666,5,0.6051500235645936,0.066639822049471
GIN (2D),RMSE,0.7442 ± 0.1427,5,0.7441594179074402,0.1426964354740524
D-MPNN (2D),RMSE,0.7300 ± 0.1185,5,0.7299795794550901,0.11854004207701861
GIN (3D),RMSE,0.7561 ± 0.1427,5,0.7561027523091504,0.14274404807564608
SchNet (3D coords),RMSE,0.7217 ± 0.1161,5,0.7217247092757353,0.11613661376718902
SMILES LSTM,RMSE,0.6458 ± 0.0828,5,0.6457715225335993,0.08276340985965479
