model,metric,mean_std,n_seeds,mean,std
Morgan + RF,RMSE,2.3662 ± 0.7941,5,2.3662041540882575,0.794105973259091
Morgan + SVM,RMSE,2.5069 ± 0.7072,5,2.5069360091399973,0.7071741475997106
Morgan + XGBoost,RMSE,1.8377 ± 0.4359,5,1.8377367976783905,0.43594854782130416
Descriptors + RF,RMSE,1.1304 ± 0.2890,5,1.1303554675529104,0.28898382792072275
Descriptors + SVM,RMSE,1.1679 ± 0.2469,5,1.1678942556649345,0.24691841338086615
Descriptors + XGBoost,RMSE,0.9823 ± 0.1840,5,0.9823198762096499,0.1839891401650218
Combined + XGBoost,RMSE,0.9731 ± 0.2135,5,0.9731080317651996,0.2135480202111783
GIN (2D),RMSE,1.1234 ± 0.1406,5,1.1233824963525336,0.1405848690160712
D-MPNN (2D),RMSE,0.8706 ± 0.1346,5,0.870605197648042,0.1345588830017663
GIN (3D),RMSE,1.1439 ± 0.3346,5,1.1438691990555185,0.33458983918395924
SchNet (3D coords),RMSE,1.0482 ± 0.1485,5,1.0481803362132627,0.1485225179297913
SMILES LSTM,RMSE,1.0895 ± 0.2159,5,1.0895081137701659,0.21588691316564926
