model,metric,mean_std,n_seeds,mean,std
Morgan + RF,ROC-AUC,0.8305 ± 0.0111,5,0.8304968126649295,0.011068424018660334
Morgan + SVM,ROC-AUC,0.7992 ± 0.0239,5,0.799175437240726,0.023861811735857594
Morgan + XGBoost,ROC-AUC,0.8034 ± 0.0232,5,0.8033593743356799,0.023181390454372085
Descriptors + RF,ROC-AUC,0.8098 ± 0.0242,5,0.8097500727301977,0.024245957885763173
Descriptors + SVM,ROC-AUC,0.7657 ± 0.0134,5,0.7656989162739645,0.013395219184301067
Descriptors + XGBoost,ROC-AUC,0.8115 ± 0.0153,5,0.8115070546149221,0.015301400762844348
Combined + XGBoost,ROC-AUC,0.8253 ± 0.0262,5,0.8252769446710724,0.026234796498569357
GIN (2D),ROC-AUC,0.7735 ± 0.0366,5,0.7735050978051952,0.036577713330340385
D-MPNN (2D),ROC-AUC,0.8040 ± 0.0311,5,0.8039824902648569,0.031121345866858087
GIN (3D),ROC-AUC,0.8010 ± 0.0319,5,0.8009521578333698,0.031920287431618184
SchNet (3D coords),ROC-AUC,0.7755 ± 0.0209,5,0.7754950003488994,0.020894583965891108
SMILES LSTM,ROC-AUC,0.7706 ± 0.0328,5,0.7706085780675591,0.032842305711739746
