model,metric,mean_std,n_seeds,mean,std
Morgan + RF,RMSE,0.8013 ± 0.0376,5,0.8012985884002759,0.03755076086005118
Morgan + SVM,RMSE,0.8006 ± 0.0504,5,0.8005644376699129,0.05042911722305058
Morgan + XGBoost,RMSE,0.7904 ± 0.0292,5,0.7904226358505287,0.029202958907295462
Descriptors + RF,RMSE,0.6641 ± 0.0314,5,0.6640738124936812,0.0314295233063085
Descriptors + SVM,RMSE,0.6188 ± 0.0331,5,0.6188123645329164,0.0331188515360216
Descriptors + XGBoost,RMSE,0.6341 ± 0.0317,5,0.6341377721443273,0.031680273338927
Combined + XGBoost,RMSE,0.6236 ± 0.0303,5,0.6236188429260447,0.030337817250338257
GIN (2D),RMSE,0.6359 ± 0.0411,5,0.6359295287331282,0.04109370280752228
D-MPNN (2D),RMSE,0.6309 ± 0.0498,5,0.6308798279837848,0.04981997906546213
GIN (3D),RMSE,0.6329 ± 0.0421,5,0.6328875684062141,0.04205079722389351
SchNet (3D coords),RMSE,0.7314 ± 0.0518,5,0.7314481673456165,0.051808638625160004
SMILES LSTM,RMSE,0.6971 ± 0.0364,5,0.6971263170102878,0.036418621102829944
