model,metric,mean_std,n_seeds,mean,std
Morgan + RF,ROC-AUC,0.8202 ± 0.0201,5,0.8201977860820666,0.020119397652513634
Morgan + SVM,ROC-AUC,0.8031 ± 0.0106,5,0.803058462315511,0.010570046277272182
Morgan + XGBoost,ROC-AUC,0.8133 ± 0.0234,5,0.8132633163990312,0.023385832173245257
Descriptors + RF,ROC-AUC,0.8480 ± 0.0062,5,0.8479608179874571,0.006180558155395216
Descriptors + SVM,ROC-AUC,0.8332 ± 0.0108,5,0.8332388914039969,0.010790729137872474
Descriptors + XGBoost,ROC-AUC,0.8505 ± 0.0133,5,0.8504807275525421,0.013259686889344492
Combined + XGBoost,ROC-AUC,0.8512 ± 0.0144,5,0.8511945458054815,0.014363974611740741
GIN (2D),ROC-AUC,0.8147 ± 0.0242,5,0.8147410758991904,0.02420829980309964
D-MPNN (2D),ROC-AUC,0.8241 ± 0.0152,5,0.8241404379320049,0.015193617454869756
GIN (3D),ROC-AUC,0.8030 ± 0.0158,5,0.8030368870205253,0.015806938804432735
SchNet (3D coords),ROC-AUC,0.7961 ± 0.0213,5,0.7961351071447619,0.021345228906243078
SMILES LSTM,ROC-AUC,0.8146 ± 0.0100,5,0.8146408127791392,0.010019745329000183
