model,metric,mean_std,n_seeds,mean,std
Morgan + RF,ROC-AUC,0.8667 ± 0.0281,5,0.866744899595113,0.028084462926453346
Morgan + SVM,ROC-AUC,0.8259 ± 0.0374,5,0.8258651317496375,0.03744220664846153
Morgan + XGBoost,ROC-AUC,0.8708 ± 0.0287,5,0.8707851853913482,0.02874436737550851
Descriptors + RF,ROC-AUC,0.8432 ± 0.0116,5,0.8431920946656035,0.011568110457272905
Descriptors + SVM,ROC-AUC,0.8114 ± 0.0145,5,0.8114415039433858,0.014453550326476397
Descriptors + XGBoost,ROC-AUC,0.8185 ± 0.0253,5,0.8184689803738582,0.025297216359799844
Combined + XGBoost,ROC-AUC,0.8329 ± 0.0157,5,0.8328962457797063,0.01568845014239927
GIN (2D),ROC-AUC,0.8488 ± 0.0415,5,0.8488083313286235,0.041488499199982494
D-MPNN (2D),ROC-AUC,0.8477 ± 0.0405,5,0.8477427890231979,0.04053230363346174
GIN (3D),ROC-AUC,0.8543 ± 0.0426,5,0.8543464812329764,0.04256776513042557
SchNet (3D coords),ROC-AUC,0.7818 ± 0.0256,5,0.7817984160995438,0.025596190749162275
SMILES LSTM,ROC-AUC,0.7957 ± 0.0356,5,0.7957025759763974,0.03555530210938576
