model,metric,mean_std,n_seeds,mean,std
Morgan + RF,ROC-AUC,0.9256 ± 0.0286,5,0.9255693326686758,0.028551917497959906
Morgan + SVM,ROC-AUC,0.8975 ± 0.0288,5,0.8974757608039956,0.028818099402244904
Morgan + XGBoost,ROC-AUC,0.9118 ± 0.0265,5,0.9118396690307289,0.026543435278298957
Descriptors + RF,ROC-AUC,0.9388 ± 0.0204,5,0.938775973261462,0.020364687360059617
Descriptors + SVM,ROC-AUC,0.9267 ± 0.0168,5,0.9266557724020865,0.016788482492500388
Descriptors + XGBoost,ROC-AUC,0.9329 ± 0.0200,5,0.9328796401625066,0.020019066843334092
Combined + XGBoost,ROC-AUC,0.9365 ± 0.0200,5,0.9365367519066303,0.020033844254940418
GIN (2D),ROC-AUC,0.9005 ± 0.0295,5,0.900540333067779,0.02953856900753081
D-MPNN (2D),ROC-AUC,0.8992 ± 0.0387,5,0.899221046525791,0.038657483080944625
GIN (3D),ROC-AUC,0.8904 ± 0.0245,5,0.8903658510164965,0.024462900325286183
SchNet (3D coords),ROC-AUC,0.8833 ± 0.0365,5,0.8833189821977712,0.03652360805375988
SMILES LSTM,ROC-AUC,0.9051 ± 0.0172,5,0.9050643807236594,0.01717046515072961
