model,metric,mean_std,n_seeds,mean,std
Morgan + RF,RMSE,1.7189 ± 0.1255,5,1.7188799280557003,0.12550763063902587
Morgan + SVM,RMSE,1.8647 ± 0.1428,5,1.8646740798074126,0.14281727190505433
Morgan + XGBoost,RMSE,1.6926 ± 0.1189,5,1.6925731187706323,0.11893458597607331
Descriptors + RF,RMSE,0.9568 ± 0.0578,5,0.9568402593296057,0.05777724894119433
Descriptors + SVM,RMSE,1.1806 ± 0.0495,5,1.1805755733543362,0.04945351053997657
Descriptors + XGBoost,RMSE,0.9474 ± 0.0741,5,0.9473916184696373,0.07412590382147342
Combined + XGBoost,RMSE,0.9144 ± 0.0672,5,0.9143534658660709,0.06718743056388266
GIN (2D),RMSE,1.0485 ± 0.0866,5,1.0485145781401397,0.08664979000874394
D-MPNN (2D),RMSE,1.0114 ± 0.0844,5,1.011369481348336,0.08444219810669741
GIN (3D),RMSE,0.9699 ± 0.0747,5,0.9698949818091046,0.07465488798632591
SchNet (3D coords),RMSE,0.9549 ± 0.0574,5,0.9549485260218494,0.057408540875089835
SMILES LSTM,RMSE,0.9724 ± 0.0723,5,0.9723982206488191,0.07228538598861958
