model,metric,mean_std,n_seeds,mean,std
Morgan + RF,RMSE,4.4345 ± 0.4198,5,4.434547686077685,0.41977504270005994
Morgan + SVM,RMSE,4.1268 ± 0.5252,5,4.126830651269509,0.5252041026245159
Morgan + XGBoost,RMSE,4.2183 ± 0.3421,5,4.218280282290899,0.3420698051490213
Descriptors + RF,RMSE,2.4972 ± 0.1773,5,2.4972023630067133,0.17733627335785018
Descriptors + SVM,RMSE,3.2037 ± 0.5189,5,3.2036844653854657,0.518881226603387
Descriptors + XGBoost,RMSE,2.5026 ± 0.1192,5,2.5026370308672647,0.11922482544546957
Combined + XGBoost,RMSE,2.4774 ± 0.1557,5,2.4773705984358765,0.15570348685288407
GIN (2D),RMSE,2.5044 ± 0.3946,5,2.5043767845913854,0.39460891736344095
D-MPNN (2D),RMSE,2.4758 ± 0.4524,5,2.4757767978741887,0.4524485247598988
GIN (3D),RMSE,1.1254 ± 0.1513,5,1.1253668391098894,0.1512671525663528
SchNet (3D coords),RMSE,0.9631 ± 0.0840,5,0.9630807981209075,0.08398792308843354
SMILES LSTM,RMSE,2.4238 ± 0.2384,5,2.4238380953534784,0.23844786003676624
