model,metric,mean_std,n_seeds,mean,std
Morgan + RF,ROC-AUC,0.7890 ± 0.0223,5,0.7890291272821582,0.022304313613608344
Morgan + SVM,ROC-AUC,0.7647 ± 0.0164,5,0.7646602997372762,0.016399657621043107
Morgan + XGBoost,ROC-AUC,0.7828 ± 0.0151,5,0.782840809397783,0.015142509641211808
Descriptors + RF,ROC-AUC,0.7790 ± 0.0221,5,0.7789828747500834,0.02214573688809221
Descriptors + SVM,ROC-AUC,0.7404 ± 0.0187,5,0.7404246934646315,0.018741691127111503
Descriptors + XGBoost,ROC-AUC,0.7851 ± 0.0158,5,0.7851019691652509,0.015760275207258038
Combined + XGBoost,ROC-AUC,0.7930 ± 0.0145,5,0.7930260225636689,0.014508486100142059
GIN (2D),ROC-AUC,0.7232 ± 0.0283,5,0.7231856001371952,0.028272211923227764
D-MPNN (2D),ROC-AUC,0.7440 ± 0.0161,5,0.7439713335897967,0.016059234863256906
GIN (3D),ROC-AUC,0.7376 ± 0.0410,5,0.7375549328931028,0.041013255864843
SchNet (3D coords),ROC-AUC,0.6813 ± 0.0324,5,0.6813485431469631,0.03244094667045382
SMILES LSTM,ROC-AUC,0.7247 ± 0.0289,5,0.724695411435486,0.02886773766608455
