model,metric,mean_std,n_seeds,mean,std
Morgan + RF,RMSE,0.9422 ± 0.0206,5,0.9421844820138248,0.020568286798151713
Morgan + SVM,RMSE,0.9494 ± 0.0250,5,0.9494000313235184,0.02504614877733724
Morgan + XGBoost,RMSE,0.9235 ± 0.0110,5,0.9235118480763443,0.010968000337873993
Descriptors + RF,RMSE,0.7860 ± 0.0228,5,0.7860315676838947,0.022788861679023532
Descriptors + SVM,RMSE,0.7437 ± 0.0300,5,0.7436942872333855,0.030018316105553163
Descriptors + XGBoost,RMSE,0.7555 ± 0.0357,5,0.7554910009266299,0.03565021936607592
Combined + XGBoost,RMSE,0.7444 ± 0.0282,5,0.7444265407737589,0.028189962409439148
GIN (2D),RMSE,0.7502 ± 0.0825,5,0.7502126719684573,0.08246047710147171
D-MPNN (2D),RMSE,0.7352 ± 0.0629,5,0.7352104804770574,0.0629383566689337
GIN (3D),RMSE,0.7430 ± 0.0933,5,0.7430233239141024,0.09331314527329639
SchNet (3D coords),RMSE,0.8422 ± 0.0794,5,0.8421651730151787,0.07939206869112216
SMILES LSTM,RMSE,0.8046 ± 0.0232,5,0.8046328495284703,0.023226201376284554
