model,metric,mean_std,n_seeds,mean,std
Morgan + RF,ROC-AUC,0.7304 ± 0.0170,5,0.7304154336159033,0.01701597972596702
Morgan + SVM,ROC-AUC,0.7000 ± 0.0288,5,0.7000494178321466,0.02881574582345504
Morgan + XGBoost,ROC-AUC,0.7324 ± 0.0191,5,0.7323761635604188,0.01905984002160142
Descriptors + RF,ROC-AUC,0.7852 ± 0.0091,5,0.785165119726253,0.009148152263435924
Descriptors + SVM,ROC-AUC,0.7497 ± 0.0189,5,0.7496979341842983,0.01888069104092992
Descriptors + XGBoost,ROC-AUC,0.7836 ± 0.0128,5,0.7835795443439116,0.012794640981082624
Combined + XGBoost,ROC-AUC,0.7875 ± 0.0074,5,0.7875457954799456,0.007403296507718109
GIN (2D),ROC-AUC,0.7211 ± 0.0147,5,0.721126219612324,0.014665293812263502
D-MPNN (2D),ROC-AUC,0.7295 ± 0.0170,5,0.7294997810757454,0.017007084616064854
GIN (3D),ROC-AUC,0.8277 ± 0.0128,5,0.8276766885362082,0.012819400626855793
SchNet (3D coords),ROC-AUC,0.8048 ± 0.0194,5,0.8047565134393728,0.019443722036146225
SMILES LSTM,ROC-AUC,0.7459 ± 0.0120,5,0.745891845944856,0.011965573335992795
